Title,Vessels,Cranes,Generations,PopulationSize,Crossover,Mutation,BestDelay,TimeMS
"Single Perfect Solution",8,1,50,10,0.40,0.05,241,80
"Single Perfect Solution",8,1,50,10,0.40,0.05,232,76
"Single Perfect Solution",8,1,50,10,0.40,0.10,244,79
"Single Perfect Solution",8,1,50,10,0.40,0.10,244,85
"Single Perfect Solution",8,1,50,10,0.40,0.15,244,82
"Single Perfect Solution",8,1,50,10,0.40,0.15,244,88
"Single Perfect Solution",8,1,50,10,0.40,0.20,241,88
"Single Perfect Solution",8,1,50,10,0.40,0.20,244,91
"Single Perfect Solution",8,1,50,10,0.50,0.05,242,70
"Single Perfect Solution",8,1,50,10,0.50,0.05,242,70
"Single Perfect Solution",8,1,50,10,0.50,0.10,242,71
"Single Perfect Solution",8,1,50,10,0.50,0.10,244,74
"Single Perfect Solution",8,1,50,10,0.50,0.15,241,76
"Single Perfect Solution",8,1,50,10,0.50,0.15,244,74
"Single Perfect Solution",8,1,50,10,0.50,0.20,244,82
"Single Perfect Solution",8,1,50,10,0.50,0.20,244,84
"Single Perfect Solution",8,1,50,10,0.60,0.05,244,69
"Single Perfect Solution",8,1,50,10,0.60,0.05,244,69
"Single Perfect Solution",8,1,50,10,0.60,0.10,244,70
"Single Perfect Solution",8,1,50,10,0.60,0.10,244,69
"Single Perfect Solution",8,1,50,10,0.60,0.15,244,73
"Single Perfect Solution",8,1,50,10,0.60,0.15,244,73
"Single Perfect Solution",8,1,50,10,0.60,0.20,244,77
"Single Perfect Solution",8,1,50,10,0.60,0.20,241,76
"Single Perfect Solution",8,1,50,10,0.70,0.05,240,66
"Single Perfect Solution",8,1,50,10,0.70,0.05,244,64
"Single Perfect Solution",8,1,50,10,0.70,0.10,242,67
"Single Perfect Solution",8,1,50,10,0.70,0.10,244,69
"Single Perfect Solution",8,1,50,10,0.70,0.15,241,71
"Single Perfect Solution",8,1,50,10,0.70,0.15,233,70
"Single Perfect Solution",8,1,50,10,0.70,0.20,244,72
"Single Perfect Solution",8,1,50,10,0.70,0.20,241,80
"Single Perfect Solution",8,1,50,10,0.80,0.05,244,64
"Single Perfect Solution",8,1,50,10,0.80,0.05,257,64
"Single Perfect Solution",8,1,50,10,0.80,0.10,241,66
"Single Perfect Solution",8,1,50,10,0.80,0.10,241,65
"Single Perfect Solution",8,1,50,10,0.80,0.15,241,68
"Single Perfect Solution",8,1,50,10,0.80,0.15,244,69
"Single Perfect Solution",8,1,50,10,0.80,0.20,244,71
"Single Perfect Solution",8,1,50,10,0.80,0.20,241,71
"Single Perfect Solution",8,1,50,10,0.90,0.05,244,65
"Single Perfect Solution",8,1,50,10,0.90,0.05,244,63
"Single Perfect Solution",8,1,50,10,0.90,0.10,244,66
"Single Perfect Solution",8,1,50,10,0.90,0.10,244,66
"Single Perfect Solution",8,1,50,10,0.90,0.15,244,67
"Single Perfect Solution",8,1,50,10,0.90,0.15,244,68
"Single Perfect Solution",8,1,50,10,0.90,0.20,244,69
"Single Perfect Solution",8,1,50,10,0.90,0.20,244,70
"Single Perfect Solution",8,1,50,20,0.40,0.05,244,168
"Single Perfect Solution",8,1,50,20,0.40,0.05,244,164
"Single Perfect Solution",8,1,50,20,0.40,0.10,241,170
"Single Perfect Solution",8,1,50,20,0.40,0.10,244,173
"Single Perfect Solution",8,1,50,20,0.40,0.15,243,181
"Single Perfect Solution",8,1,50,20,0.40,0.15,244,179
"Single Perfect Solution",8,1,50,20,0.40,0.20,244,190
"Single Perfect Solution",8,1,50,20,0.40,0.20,244,190
"Single Perfect Solution",8,1,50,20,0.50,0.05,244,155
"Single Perfect Solution",8,1,50,20,0.50,0.05,244,153
"Single Perfect Solution",8,1,50,20,0.50,0.10,237,163
"Single Perfect Solution",8,1,50,20,0.50,0.10,244,158
"Single Perfect Solution",8,1,50,20,0.50,0.15,241,163
"Single Perfect Solution",8,1,50,20,0.50,0.15,241,166
"Single Perfect Solution",8,1,50,20,0.50,0.20,242,170
"Single Perfect Solution",8,1,50,20,0.50,0.20,244,180
"Single Perfect Solution",8,1,50,20,0.60,0.05,244,146
"Single Perfect Solution",8,1,50,20,0.60,0.05,244,149
"Single Perfect Solution",8,1,50,20,0.60,0.10,241,150
"Single Perfect Solution",8,1,50,20,0.60,0.10,244,149
"Single Perfect Solution",8,1,50,20,0.60,0.15,244,155
"Single Perfect Solution",8,1,50,20,0.60,0.15,244,155
"Single Perfect Solution",8,1,50,20,0.60,0.20,244,164
"Single Perfect Solution",8,1,50,20,0.60,0.20,244,159
"Single Perfect Solution",8,1,50,20,0.70,0.05,244,139
"Single Perfect Solution",8,1,50,20,0.70,0.05,223,144
"Single Perfect Solution",8,1,50,20,0.70,0.10,235,146
"Single Perfect Solution",8,1,50,20,0.70,0.10,242,145
"Single Perfect Solution",8,1,50,20,0.70,0.15,241,152
"Single Perfect Solution",8,1,50,20,0.70,0.15,244,150
"Single Perfect Solution",8,1,50,20,0.70,0.20,244,164
"Single Perfect Solution",8,1,50,20,0.70,0.20,244,151
"Single Perfect Solution",8,1,50,20,0.80,0.05,241,134
"Single Perfect Solution",8,1,50,20,0.80,0.05,242,133
"Single Perfect Solution",8,1,50,20,0.80,0.10,241,142
"Single Perfect Solution",8,1,50,20,0.80,0.10,241,141
"Single Perfect Solution",8,1,50,20,0.80,0.15,183,152
"Single Perfect Solution",8,1,50,20,0.80,0.15,244,147
"Single Perfect Solution",8,1,50,20,0.80,0.20,244,146
"Single Perfect Solution",8,1,50,20,0.80,0.20,244,150
"Single Perfect Solution",8,1,50,20,0.90,0.05,242,127
"Single Perfect Solution",8,1,50,20,0.90,0.05,242,130
"Single Perfect Solution",8,1,50,20,0.90,0.10,241,135
"Single Perfect Solution",8,1,50,20,0.90,0.10,244,138
"Single Perfect Solution",8,1,50,20,0.90,0.15,244,142
"Single Perfect Solution",8,1,50,20,0.90,0.15,241,140
"Single Perfect Solution",8,1,50,20,0.90,0.20,244,142
"Single Perfect Solution",8,1,50,20,0.90,0.20,244,143
"Single Perfect Solution",8,1,50,30,0.40,0.05,241,261
"Single Perfect Solution",8,1,50,30,0.40,0.05,242,261
"Single Perfect Solution",8,1,50,30,0.40,0.10,221,275
"Single Perfect Solution",8,1,50,30,0.40,0.10,242,274
"Single Perfect Solution",8,1,50,30,0.40,0.15,224,290
"Single Perfect Solution",8,1,50,30,0.40,0.15,243,297
"Single Perfect Solution",8,1,50,30,0.40,0.20,244,301
"Single Perfect Solution",8,1,50,30,0.40,0.20,244,298
"Single Perfect Solution",8,1,50,30,0.50,0.05,244,249
"Single Perfect Solution",8,1,50,30,0.50,0.05,244,241
"Single Perfect Solution",8,1,50,30,0.50,0.10,218,251
"Single Perfect Solution",8,1,50,30,0.50,0.10,241,250
"Single Perfect Solution",8,1,50,30,0.50,0.15,244,265
"Single Perfect Solution",8,1,50,30,0.50,0.15,244,260
"Single Perfect Solution",8,1,50,30,0.50,0.20,244,270
"Single Perfect Solution",8,1,50,30,0.50,0.20,244,275
"Single Perfect Solution",8,1,50,30,0.60,0.05,244,231
"Single Perfect Solution",8,1,50,30,0.60,0.05,241,226
"Single Perfect Solution",8,1,50,30,0.60,0.10,241,238
"Single Perfect Solution",8,1,50,30,0.60,0.10,244,237
"Single Perfect Solution",8,1,50,30,0.60,0.15,241,248
"Single Perfect Solution",8,1,50,30,0.60,0.15,244,241
"Single Perfect Solution",8,1,50,30,0.60,0.20,218,252
"Single Perfect Solution",8,1,50,30,0.60,0.20,244,251
"Single Perfect Solution",8,1,50,30,0.70,0.05,241,220
"Single Perfect Solution",8,1,50,30,0.70,0.05,241,237
"Single Perfect Solution",8,1,50,30,0.70,0.10,242,227
"Single Perfect Solution",8,1,50,30,0.70,0.10,241,229
"Single Perfect Solution",8,1,50,30,0.70,0.15,231,239
"Single Perfect Solution",8,1,50,30,0.70,0.15,244,244
"Single Perfect Solution",8,1,50,30,0.70,0.20,244,240
"Single Perfect Solution",8,1,50,30,0.70,0.20,244,239
"Single Perfect Solution",8,1,50,30,0.80,0.05,244,219
"Single Perfect Solution",8,1,50,30,0.80,0.05,195,211
"Single Perfect Solution",8,1,50,30,0.80,0.10,233,223
"Single Perfect Solution",8,1,50,30,0.80,0.10,244,218
"Single Perfect Solution",8,1,50,30,0.80,0.15,244,226
"Single Perfect Solution",8,1,50,30,0.80,0.15,237,227
"Single Perfect Solution",8,1,50,30,0.80,0.20,244,234
"Single Perfect Solution",8,1,50,30,0.80,0.20,244,235
"Single Perfect Solution",8,1,50,30,0.90,0.05,241,202
"Single Perfect Solution",8,1,50,30,0.90,0.05,242,209
"Single Perfect Solution",8,1,50,30,0.90,0.10,244,213
"Single Perfect Solution",8,1,50,30,0.90,0.10,220,208
"Single Perfect Solution",8,1,50,30,0.90,0.15,244,217
"Single Perfect Solution",8,1,50,30,0.90,0.15,244,218
