Vessels,Cranes,Generations,Crossover,Mutation,BestDelay,TimeMS
10,5,15,0.00,0.00,46,13
10,5,15,0.00,0.00,23,5
10,5,15,0.00,0.00,64,4
10,5,15,0.00,0.00,34,4
10,5,15,0.00,0.00,20,4
10,5,15,0.00,0.00,27,4
10,5,15,0.00,0.00,41,4
10,5,15,0.00,0.00,24,4
10,5,15,0.00,0.00,56,4
10,5,15,0.00,0.00,25,4
10,5,15,0.00,0.00,20,4
10,5,15,0.00,0.00,38,4
10,5,15,0.00,0.00,13,4
10,5,15,0.00,0.00,57,4
10,5,15,0.00,0.00,17,4
10,5,15,0.00,0.00,32,4
10,5,15,0.00,0.00,58,4
10,5,15,0.00,0.00,41,4
10,5,15,0.00,0.00,59,4
10,5,15,0.00,0.00,45,4
10,5,15,0.00,0.01,47,4
10,5,15,0.00,0.01,16,4
10,5,15,0.00,0.01,26,4
10,5,15,0.00,0.01,50,4
10,5,15,0.00,0.01,21,4
10,5,15,0.00,0.01,5,4
10,5,15,0.00,0.01,29,4
10,5,15,0.00,0.01,25,4
10,5,15,0.00,0.01,22,4
10,5,15,0.00,0.01,30,3
10,5,15,0.00,0.01,67,4
10,5,15,0.00,0.01,18,4
10,5,15,0.00,0.01,57,4
10,5,15,0.00,0.01,44,4
10,5,15,0.00,0.01,20,4
10,5,15,0.00,0.01,52,4
10,5,15,0.00,0.01,47,4
10,5,15,0.00,0.01,29,4
10,5,15,0.00,0.01,60,4
10,5,15,0.00,0.01,21,4
10,5,15,0.00,0.02,30,5
10,5,15,0.00,0.02,42,4
10,5,15,0.00,0.02,42,4
10,5,15,0.00,0.02,28,4
10,5,15,0.00,0.02,20,4
10,5,15,0.00,0.02,22,4
10,5,15,0.00,0.02,69,4
10,5,15,0.00,0.02,51,4
10,5,15,0.00,0.02,77,4
10,5,15,0.00,0.02,56,4
10,5,15,0.00,0.02,19,4
10,5,15,0.00,0.02,69,4
10,5,15,0.00,0.02,14,4
10,5,15,0.00,0.02,29,4
10,5,15,0.00,0.02,47,4
10,5,15,0.00,0.02,56,5
10,5,15,0.00,0.02,8,4
10,5,15,0.00,0.02,54,4
10,5,15,0.00,0.02,11,4
10,5,15,0.00,0.02,57,4
10,5,15,0.00,0.03,10,4
10,5,15,0.00,0.03,64,4
10,5,15,0.00,0.03,22,4
10,5,15,0.00,0.03,38,4
10,5,15,0.00,0.03,17,4
10,5,15,0.00,0.03,35,4
10,5,15,0.00,0.03,32,4
10,5,15,0.00,0.03,34,4
10,5,15,0.00,0.03,22,4
10,5,15,0.00,0.03,67,5
10,5,15,0.00,0.03,44,4
10,5,15,0.00,0.03,38,4
10,5,15,0.00,0.03,34,4
10,5,15,0.00,0.03,49,4
10,5,15,0.00,0.03,21,4
10,5,15,0.00,0.03,37,5
10,5,15,0.00,0.03,26,4
10,5,15,0.00,0.03,45,4
10,5,15,0.00,0.03,25,5
10,5,15,0.00,0.03,0,4
10,5,15,0.00,0.05,31,4
10,5,15,0.00,0.05,18,4
10,5,15,0.00,0.05,39,4
10,5,15,0.00,0.05,21,4
10,5,15,0.00,0.05,32,4
10,5,15,0.00,0.05,9,4
10,5,15,0.00,0.05,49,4
10,5,15,0.00,0.05,22,4
10,5,15,0.00,0.05,36,4
10,5,15,0.00,0.05,35,4
10,5,15,0.00,0.05,11,4
10,5,15,0.00,0.05,23,4
10,5,15,0.00,0.05,11,4
10,5,15,0.00,0.05,41,5
10,5,15,0.00,0.05,19,3
10,5,15,0.00,0.05,23,4
10,5,15,0.00,0.05,37,4
10,5,15,0.00,0.05,29,4
10,5,15,0.00,0.05,65,5
10,5,15,0.00,0.05,42,4
10,5,15,0.00,0.06,30,4
10,5,15,0.00,0.06,74,4
10,5,15,0.00,0.06,44,4
10,5,15,0.00,0.06,0,1
10,5,15,0.00,0.06,46,5
10,5,15,0.00,0.06,38,4
10,5,15,0.00,0.06,46,4
10,5,15,0.00,0.06,62,4
10,5,15,0.00,0.06,32,4
10,5,15,0.00,0.06,27,4
10,5,15,0.00,0.06,51,4
10,5,15,0.00,0.06,50,4
10,5,15,0.00,0.06,62,4
10,5,15,0.00,0.06,17,4
10,5,15,0.00,0.06,21,4
10,5,15,0.00,0.06,0,2
10,5,15,0.00,0.06,40,4
10,5,15,0.00,0.06,20,4
10,5,15,0.00,0.06,40,4
10,5,15,0.00,0.06,49,4
10,5,15,0.00,0.10,30,4
10,5,15,0.00,0.10,7,5
10,5,15,0.00,0.10,29,4
10,5,15,0.00,0.10,27,4
