Title,Vessels,Cranes,Generations,Crossover,Mutation,BestDelay,TimeMS
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.00,0,3
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.00,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.00,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.00,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.00,0,6
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.00,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.00,8,5
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.00,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.00,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.00,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.05,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.05,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.05,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.05,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.05,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.05,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.05,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.05,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.05,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.05,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.10,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.10,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.10,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.10,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.10,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.10,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.10,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.10,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.10,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.10,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.15,0,1
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.15,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.15,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.15,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.15,9,4
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.15,0,2
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.15,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.15,0,0
"Few Vessels, Some Cranes, Good Generations",10,10,10,0.00,0.15,0,1
